"","Lácteos y derivados ","Carnes (res, cerdo, pollo, pescado) ","Cereales (arroz, pasta, avena, quinoa) ","Productos cárnicos (chorizos, salchichas, jamón, morcilla, etc). ","Aceites y grasas (aceite de canola, aceite de oliva, aceite de ajonjolí, aceite de aguacate, aguacate, aceitunas) ","Leguminosas (frijol, garbanzo, lenteja, etc) ","Raíces, tubérculos y plátanos (Arracacha, batata, ñame, yuca, papa) ","Frutas (Banano, borojo, chontaduro, manzana, mango)","Verduras","Comidas rápidas(perro, pizza, hamburguesa,etc) ","Snacks o productos de paquete ","Dulces, postres y golosinas","Gaseosas"
"156","Diario","Diario","Diario","Diario","Semanal","Semanal","Diario","Diario","Diario","Quincenal","Semanal","Semanal","Semanal"
"157","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal"
"158","Diario","Diario","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Quincenal","Semanal","Quincenal","Diario"
"159","Semanal","Diario","Diario","Semanal","Semanal","Semanal","Diario","Diario","Semanal","Quincenal","Mensual","Mensual","Semanal"
"160","Semanal","Mensual","Semanal","Mensual","Mensual","Semanal","Mensual","Mensual","Mensual","No consume","No consume","No consume","Mensual"
"161","Diario","Diario","Diario","Mensual","Semanal","Semanal","Semanal","Diario","Diario","Mensual","Quincenal","Diario","No consume"
"162","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Quincenal","Semanal","Semanal","Semanal"
"163","Diario","Semanal","Semanal","Quincenal","Semanal","Semanal","Semanal","Semanal","Semanal","Mensual","No consume","No consume","No consume"
"164","Semanal","Quincenal","Diario","No consume","Quincenal","No consume","Quincenal","Mensual","Semanal","No consume","No consume","Mensual","Mensual"
"165","Diario","Diario","Diario","Quincenal","Quincenal","Semanal","Semanal","Semanal","Diario","Mensual","No consume","No consume","No consume"
"166","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Semanal","Diario","Quincenal","Semanal","Semanal","Mensual"
"167","No consume","Quincenal","Diario","Mensual","No consume","Quincenal","Quincenal","Mensual","Mensual","No consume","Mensual","Mensual","No consume"
"168","Mensual","Diario","Semanal","No consume","Diario","Semanal","Semanal","Semanal","Diario","No consume","No consume","No consume","No consume"
"169","Semanal","Diario","Diario","Semanal","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Semanal","No consume"
"170","Diario","Semanal","Semanal","Quincenal","Quincenal","Semanal","Mensual","Diario","Quincenal","Quincenal","Semanal","Semanal","Semanal"
"171","Semanal","Semanal","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Semanal","Quincenal","Semanal","Semanal","Semanal"
"172","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Diario","Quincenal","Diario","No consume","Mensual","Quincenal","No consume"
"173","Diario","Diario","Quincenal","Quincenal","Diario","Diario","Diario","Quincenal","Diario","Quincenal","Quincenal","Quincenal","Mensual"
"174","Mensual","Quincenal","Diario","Mensual","Mensual","Quincenal","Diario","Semanal","Diario","Mensual","Mensual","Semanal","Mensual"
"175","Quincenal","Semanal","Diario","Diario","Mensual","Semanal","Diario","Semanal","Diario","Mensual","No consume","Semanal","Semanal"
"176","Diario","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Diario","No consume","No consume","No consume","No consume"
"177","Diario","Diario","Diario","Mensual","Diario","Semanal","Diario","Diario","Diario","Mensual","Mensual","Quincenal","Mensual"
"178","Diario","Diario","Diario","Semanal","Diario","Semanal","Quincenal","Diario","Diario","Semanal","Diario","Diario","Diario"
"179","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Diario","Mensual","Mensual","Semanal","Mensual"
"180","Diario","Semanal","Diario","Mensual","Mensual","Semanal","Semanal","Diario","Diario","Mensual","Mensual","Semanal","No consume"
"181","Diario","Diario","Diario","Semanal","Diario","Semanal","Semanal","Diario","Diario","Quincenal","Semanal","Quincenal","Quincenal"
"182","Semanal","Semanal","Diario","Semanal","Mensual","Semanal","Diario","Quincenal","Diario","Quincenal","Quincenal","Quincenal","Quincenal"
"183","Diario","Semanal","Diario","No consume","Diario","Diario","Diario","Diario","Diario","Mensual","Diario","Semanal","Mensual"
"184","Diario","Diario","Diario","Semanal","Diario","Diario","Diario","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal"
"185","Semanal","Semanal","Diario","Semanal","Semanal","Diario","Diario","Diario","Diario","No consume","Quincenal","Mensual","No consume"
"186","Diario","Diario","Diario","Semanal","Semanal","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Quincenal"
"187","Diario","Diario","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Semanal","Semanal","Semanal","Semanal"
"188","Diario","Diario","Diario","Mensual","Diario","Semanal","Diario","Semanal","Diario","Quincenal","Quincenal","Semanal","Semanal"
"189","Diario","Mensual","Quincenal","Mensual","Mensual","Mensual","Mensual","Quincenal","Quincenal","No consume","Mensual","Mensual","No consume"
"190","Diario","Mensual","Quincenal","Mensual","Diario","Semanal","Semanal","Semanal","Semanal","Mensual","Mensual","Quincenal","Semanal"
"191","Semanal","Semanal","Diario","Semanal","No consume","Semanal","Semanal","Mensual","Semanal","No consume","Mensual","Mensual","No consume"
"192","Diario","Diario","Diario","Quincenal","Quincenal","Diario","Diario","Diario","Diario","Quincenal","Diario","Quincenal","No consume"
"193","Diario","Diario","Diario","Quincenal","Quincenal","Semanal","Semanal","Quincenal","Semanal","Quincenal","Semanal","Quincenal","Quincenal"
"194","Semanal","Semanal","Diario","No consume","No consume","Semanal","Semanal","Semanal","Semanal","Mensual","No consume","No consume","No consume"
"195","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Semanal","Mensual","Quincenal","Mensual","Semanal"
"196","Quincenal","Quincenal","Diario","Mensual","Quincenal","Semanal","Semanal","Quincenal","Diario","Mensual","Mensual","Mensual","No consume"
"197","Diario","Diario","Diario","Semanal","Quincenal","Semanal","Diario","Semanal","Semanal","Quincenal","Semanal","Semanal","Semanal"
"198","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal","Semanal"
"199","Quincenal","Quincenal","Semanal","Semanal","No consume","Semanal","Diario","Mensual","Quincenal","Mensual","Mensual","Semanal","Quincenal"
"200","Mensual","Mensual","Diario","Diario","No consume","Quincenal","Semanal","Quincenal","Semanal","No consume","Mensual","Mensual","No consume"
"201","Diario","Diario","Diario","Semanal","Diario","Semanal","Diario","Diario","Diario","Semanal","Diario","Diario","Semanal"
"202","Diario","Semanal","Diario","No consume","No consume","Semanal","Semanal","Semanal","Diario","Mensual","Mensual","Mensual","No consume"
